clients,cmd-stream_tcp_json,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_grpc_protobuf
1,28.000,15.600,19.000,138.900,190.000
2,27.200,15.100,19.000,138.800,187.800
4,27.000,15.200,18.000,138.100,188.200
8,27.000,16.800,19.200,137.000,185.100
16,29.000,17.000,20.000,136.600,189.400
