clients,cmd-stream_tcp_json,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_grpc_protobuf
1,5.016,3.023,4.263,12.363,20.216
2,4.965,3.012,4.281,12.326,19.553
4,4.972,3.008,4.266,12.290,19.528
8,4.943,3.069,4.314,12.204,19.050
16,5.044,3.083,4.339,12.137,19.916
