clients,cmd-stream_tcp_json,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_grpc_protobuf
1,1.510,0.612,0.767,2.091,2.138
2,1.010,0.516,0.603,1.627,1.774
4,0.796,0.427,0.466,1.250,1.914
8,0.633,0.406,0.455,1.295,1.664
16,0.598,0.383,0.471,1.033,1.743
