clients,cmd-stream_tcp_json,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_grpc_protobuf
1,1.209,0.383,0.612,1.472,1.327
2,0.708,0.223,0.367,1.045,1.060
4,0.504,0.143,0.186,0.753,1.192
8,0.171,0.090,0.095,0.750,0.888
16,0.131,0.087,0.095,0.490,1.142
