clients,cmd-stream_tcp_json,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_grpc_protobuf
1,0.032,0.030,0.030,0.280,0.048
2,0.030,0.030,0.030,0.054,0.052
4,0.030,0.030,0.030,0.043,0.050
8,0.037,0.030,0.031,0.048,0.051
16,0.032,0.030,0.030,0.041,0.058
