clients,cmd-stream_tcp_json,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_grpc_protobuf
1,1.454,0.569,0.757,1.976,2.038
2,0.971,0.435,0.577,1.504,1.684
4,0.756,0.265,0.354,1.132,1.829
8,0.331,0.186,0.208,1.106,1.567
16,0.306,0.188,0.207,0.829,1.705
